student_id,full_name,class_name,gender,birth_date,email,phone,score_python,attendance_rate,tuition_status,age,last_name,first_name,middle_name
SV001,Nguyen Van An,CNTT 1,Nam,2004-01-12,an01@eaut.edu.vn,0912345678,8.5,92.0,Da nop,22.0,Nguyen,An,Van
SV002,Tran Thi Binh,CNTT1,Nữ,,binh02@eaut.edu.vn,0988123456,7.2,88.0,Chua nop,,Tran,Binh,Thi
SV003,Le Van Cuong,CNTT 2,Nam,,cuong03@email.com,Chưa cập nhật,9.1,95.0,Da nop,,Le,Cuong,Van
SV004,Pham Thi Dung,CNTT 2,Không rõ,2004-05-21,dung04@email.com,0912567890,6.8,79.0,Da nop,22.0,Pham,Dung,Thi
SV005,Hoang Minh Duc,CNTT-3,Nam,2004-11-02,duc05@email.com,0977555333,11.0,85.0,Da nop,22.0,Hoang,Duc,Minh
SV005,Hoang Minh Duc,CNTT-3,Nam,2004-11-02,duc05@email.com,0977555333,11.0,85.0,Da nop,22.0,Hoang,Duc,Minh
SV006,Vu Thi Ha,CNTT 3,Nữ,,ha06@email,0966888777,5.4,61.0,Chua nop,,Vu,Ha,Thi
SV007,Doan Quoc Huy,CNTT 1,Nam,2004-08-16,huy07@email.com,0933444555,-1.0,98.0,Da nop,22.0,Doan,Huy,Quoc
SV008,Bui Thu Linh,CNTT 2,Nữ,2004-09-30,linh08@email.com,0944333222,8.0,,Da nop,22.0,Bui,Linh,Thu
SV009,Nguyen Van Nam,CNTT 1,Nam,2004-10-10,nam09@email.com,0911112222,7.9,82.0,Tre han,22.0,Nguyen,Nam,Van
